<<<<<<< HEAD
EAR,MAR,TIME
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.25074235374804854,0.7357022603955159,17:58:39.043909
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.25074235374804854,0.7357022603955159,17:58:39.043909
0.2315483123984414,0.9683291873706963,17:58:42.664169
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.25074235374804854,0.7357022603955159,17:58:39.043909
0.2315483123984414,0.9683291873706963,17:58:42.664169
0.17081620764898195,0.3,17:58:46.421155
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.25074235374804854,0.7357022603955159,17:58:39.043909
0.2315483123984414,0.9683291873706963,17:58:42.664169
0.17081620764898195,0.3,17:58:46.421155
0.2492236911359792,0.13333333333333333,17:58:49.907596
0.2718106201224666,0.47764789057112217,17:58:15.628294
0.18510352788734719,0.41832743951543827,17:58:21.249674
0.26058153613666013,0.3428461095262013,17:58:27.135863
0.2344883063909266,0.03333333333333333,17:58:31.738962
0.25719239141655337,0.8,17:58:35.825426
0.25074235374804854,0.7357022603955159,17:58:39.043909
